Outcome,Week End,Age Group,Unvaccinated Rate,Vaccinated Rate,Boosted Rate,Crude Vaccinated Ratio,Crude Boosted Ratio,Age-Adjusted Unvaccinated Rate,Age-Adjusted Vaccinated Rate,Age-Adjusted Boosted Rate,Age-Adjusted Vaccinated Ratio,Age-Adjusted Boosted Ratio,Population Unvaccinated,Population Vaccinated,Population Boosted,Outcome Unvaccinated,Outcome Vaccinated,Outcome Boosted,Age Group Min,Age Group Max
Cases,12/25/2021,0-4,777.2,,,,,,,,,,162642,,,1264,,,0,4
Cases,09/03/2022,0-4,115.0,1.8,,63.9,,,,,,,162642,,,187,3,,0,4
Hospitalizations,11/05/2022,0-4,2.5,0.0,,,,,,,,,162642,,,4,0,,0,4
Cases,10/08/2022,0-4,44.9,7.4,,6.1,,,,,,,162642,,,73,12,,0,4
Cases,11/05/2022,0-4,77.5,4.3,,18.0,,,,,,,162642,,,126,7,,0,4
Cases,05/21/2022,0-4,222.0,,,,,,,,,,162642,,,361,,,0,4
Deaths,07/30/2022,0-4,0.0,0.0,,,,,,,,,162642,,,0,0,,0,4
Cases,07/23/2022,0-4,208.4,0.0,,,,,,,,,162642,,,339,0,,0,4
Cases,01/29/2022,18-29,415.3,194.3,274.9,2.1,1.5,,,,,,116289,230544,110960,483,448,305,18,29
Deaths,05/01/2021,12-17,0.6,,,,,,,,,,167493,,,1,,,12,17
Cases,05/01/2021,12-17,178.5,,,,,,,,,,167493,,,299,,,12,17
Hospitalizations,06/04/2022,0-4,6.1,,,,,,,,,,162642,,,10,,,0,4
Cases,05/07/2022,0-4,180.2,,,,,,,,,,162642,,,293,,,0,4
Cases,01/22/2022,0-4,507.9,,,,,,,,,,162642,,,826,,,0,4
Hospitalizations,03/19/2022,80+,11.4,28.2,9.2,0.4,1.2,,,,,,26403,14197,43541,3,4,4,80,200
Deaths,03/12/2022,80+,11.3,27.8,0.0,0.4,,,,,,,26448,14388,43299,3,4,0,80,200
Deaths,07/17/2021,65-79,2.9,0.0,,,,,,,,,69353,191803,,2,0,,65,79
Cases,11/20/2021,5-11,261.4,0.0,,,,,,,,,165666,1,,433,0,,5,11
Hospitalizations,06/18/2022,0-4,4.3,,,,,,,,,,162642,,,7,,,0,4
Hospitalizations,11/06/2021,80+,55.4,24.8,8.9,2.2,6.2,,,,,,28897,44292,11212,16,11,1,80,200
Deaths,08/20/2022,0-4,0.0,0.0,,,,,,,,,162642,,,0,0,,0,4
Hospitalizations,05/01/2021,12-17,4.2,,,,,,,,,,167493,,,7,,,12,17
Cases,04/16/2022,0-4,90.4,,,,,,,,,,162642,,,147,,,0,4
Hospitalizations,10/22/2022,0-4,4.3,0.0,,,,,,,,,162642,,,7,0,,0,4
Cases,09/10/2022,80+,192.4,201.1,178.7,1.0,1.1,,,,,,25463,11435,47575,49,23,85,80,200
Deaths,10/29/2022,0-4,0.0,0.0,,,,,,,,,162642,,,0,0,,0,4
Deaths,10/01/2022,0-4,0.0,0.0,,,,,,,,,162642,,,0,0,,0,4
Cases,06/05/2021,30-49,45.4,6.3,,7.2,,,,,,,301911,427758,,137,27,,30,49
Cases,01/08/2022,0-4,1367.4,,,,,,,,,,162642,,,2224,,,0,4
Deaths,09/10/2022,0-4,0.0,0.0,,,,,,,,,162642,,,0,0,,0,4
Deaths,09/24/2022,0-4,0.0,0.0,,,,,,,,,162642,,,0,0,,0,4
Hospitalizations,02/12/2022,12-17,2.5,1.0,4.5,2.5,0.6,,,,,,39559,96927,22224,1,1,1,12,17
Hospitalizations,08/28/2021,All,19.0,4.0,,4.8,,27.3,3.0,,9.1,,1067961,1457674,,203,59,,999,999
Cases,10/09/2021,5-11,119.3,,,,,,,,,,210448,,,251,,,5,11
Hospitalizations,08/27/2022,0-4,6.8,0.0,,,,,,,,,162642,,,11,0,,0,4
Hospitalizations,12/11/2021,65-79,141.6,42.0,3.9,3.4,36.3,,,,,,52266,104765,102053,74,44,4,65,79
Hospitalizations,10/01/2022,0-4,3.1,0.0,,,,,,,,,162642,,,5,0,,0,4
Hospitalizations,03/26/2022,5-11,0.0,1.1,,0.0,,,,,,,101593,91799,,0,1,,5,11
Cases,04/09/2022,0-4,95.3,,,,,,,,,,162642,,,155,,,0,4
Hospitalizations,09/17/2022,0-4,6.8,0.0,,,,,,,,,162642,,,11,0,,0,4
Cases,03/26/2022,0-4,51.0,,,,,,,,,,162642,,,83,,,0,4
Cases,08/14/2021,5-11,110.7,,,,,,,,,,210448,,,233,,,5,11
Cases,06/18/2022,0-4,168.5,,,,,,,,,,162642,,,274,,,0,4
Cases,08/13/2022,0-4,162.3,1.2,,135.2,,,,,,,162642,,,264,2,,0,4
Hospitalizations,08/20/2022,0-4,8.6,0.0,,,,,,,,,162642,,,14,0,,0,4
Cases,05/08/2021,12-17,136.1,,,,,,,,,,165353,,,225,,,12,17
Cases,08/28/2021,5-11,135.0,,,,,,,,,,210448,,,284,,,5,11
Hospitalizations,06/26/2021,50-64,6.4,1.0,,6.4,,,,,,,108830,297533,,7,3,,50,64
Hospitalizations,04/17/2021,80+,88.2,11.4,,7.7,,,,,,,38528,35139,,34,4,,80,200
Cases,01/29/2022,0-4,303.1,,,,,,,,,,162642,,,493,,,0,4
Deaths,11/12/2022,0-4,0.0,0.0,,,,,,,,,162642,,,0,0,,0,4
Cases,04/03/2021,5-11,79.4,,,,,,,,,,210448,,,167,,,5,11
Cases,04/10/2021,0-4,117.4,,,,,,,,,,162642,,,191,,,0,4
Cases,04/10/2021,5-11,149.2,,,,,,,,,,210448,,,314,,,5,11
Cases,04/17/2021,0-4,103.3,,,,,,,,,,162642,,,168,,,0,4
Cases,04/17/2021,5-11,141.1,,,,,,,,,,210448,,,297,,,5,11
Cases,04/24/2021,0-4,80.5,,,,,,,,,,162642,,,131,,,0,4
Cases,04/24/2021,5-11,110.7,,,,,,,,,,210448,,,233,,,5,11
Cases,05/01/2021,0-4,58.4,,,,,,,,,,162642,,,95,,,0,4
Cases,05/08/2021,0-4,56.6,,,,,,,,,,162642,,,92,,,0,4
Cases,05/08/2021,5-11,72.2,,,,,,,,,,210448,,,152,,,5,11
Cases,05/15/2021,0-4,46.7,,,,,,,,,,162642,,,76,,,0,4
Cases,05/15/2021,5-11,77.0,,,,,,,,,,210448,,,162,,,5,11
Cases,05/22/2021,0-4,44.3,,,,,,,,,,162642,,,72,,,0,4
Cases,05/22/2021,5-11,50.8,,,,,,,,,,210448,,,107,,,5,11
Cases,05/29/2021,0-4,25.2,,,,,,,,,,162642,,,41,,,0,4
Cases,05/29/2021,5-11,29.9,,,,,,,,,,210448,,,63,,,5,11
Cases,06/05/2021,0-4,17.2,,,,,,,,,,162642,,,28,,,0,4
Cases,06/05/2021,5-11,21.4,,,,,,,,,,210448,,,45,,,5,11
Cases,06/12/2021,0-4,13.5,,,,,,,,,,162642,,,22,,,0,4
Cases,06/12/2021,5-11,14.3,,,,,,,,,,210448,,,30,,,5,11
Cases,06/19/2021,0-4,6.1,,,,,,,,,,162642,,,10,,,0,4
Cases,06/19/2021,5-11,7.6,,,,,,,,,,210448,,,16,,,5,11
Cases,06/26/2021,0-4,10.5,,,,,,,,,,162642,,,17,,,0,4
Cases,06/26/2021,5-11,6.2,,,,,,,,,,210448,,,13,,,5,11
Cases,07/03/2021,0-4,12.9,,,,,,,,,,162642,,,21,,,0,4
Cases,07/03/2021,5-11,8.6,,,,,,,,,,210448,,,18,,,5,11
Cases,07/10/2021,0-4,16.0,,,,,,,,,,162642,,,26,,,0,4
Cases,07/10/2021,5-11,15.2,,,,,,,,,,210448,,,32,,,5,11
Cases,07/17/2021,0-4,17.8,,,,,,,,,,162642,,,29,,,0,4
Cases,07/17/2021,5-11,25.2,,,,,,,,,,210448,,,53,,,5,11
Cases,07/24/2021,0-4,36.9,,,,,,,,,,162642,,,60,,,0,4
Cases,07/24/2021,5-11,45.6,,,,,,,,,,210448,,,96,,,5,11
Cases,07/31/2021,0-4,40.6,,,,,,,,,,162642,,,66,,,0,4
Cases,07/31/2021,5-11,50.8,,,,,,,,,,210448,,,107,,,5,11
Cases,08/07/2021,0-4,55.3,,,,,,,,,,162642,,,90,,,0,4
Cases,08/07/2021,5-11,80.3,,,,,,,,,,210448,,,169,,,5,11
Cases,08/14/2021,0-4,63.9,,,,,,,,,,162642,,,104,,,0,4
Cases,08/21/2021,0-4,58.4,,,,,,,,,,162642,,,95,,,0,4
Cases,08/21/2021,5-11,102.2,,,,,,,,,,210448,,,215,,,5,11
Cases,08/28/2021,0-4,87.9,,,,,,,,,,162642,,,143,,,0,4
Cases,09/04/2021,0-4,89.2,,,,,,,,,,162642,,,145,,,0,4
Cases,09/11/2021,0-4,80.5,,,,,,,,,,162642,,,131,,,0,4
Cases,09/11/2021,5-11,164.4,,,,,,,,,,210448,,,346,,,5,11
Cases,09/18/2021,5-11,154.4,,,,,,,,,,210448,,,325,,,5,11
Cases,09/25/2021,0-4,57.2,,,,,,,,,,162642,,,93,,,0,4
Cases,09/25/2021,5-11,121.2,,,,,,,,,,210448,,,255,,,5,11
Cases,10/02/2021,0-4,60.9,,,,,,,,,,162642,,,99,,,0,4
Cases,10/09/2021,0-4,59.0,,,,,,,,,,162642,,,96,,,0,4
Cases,10/16/2021,0-4,48.6,,,,,,,,,,162642,,,79,,,0,4
Cases,10/23/2021,0-4,54.7,,,,,,,,,,162642,,,89,,,0,4
Cases,10/30/2021,0-4,62.7,,,,,,,,,,162642,,,102,,,0,4
Cases,10/30/2021,5-11,133.0,,,,,,,,,,210448,,,280,,,5,11
Cases,11/06/2021,0-4,74.4,,,,,,,,,,162642,,,121,,,0,4
Cases,11/13/2021,0-4,97.1,,,,,,,,,,162642,,,158,,,0,4
Cases,11/27/2021,0-4,100.2,,,,,,,,,,162642,,,163,,,0,4
Deaths,09/03/2022,65-79,4.6,0.0,0.0,,,,,,,,43437,43801,172573,2,0,0,65,79
Cases,03/05/2022,0-4,46.1,,,,,,,,,,162642,,,75,,,0,4
Cases,03/19/2022,0-4,41.8,,,,,,,,,,162642,,,68,,,0,4
Cases,04/02/2022,0-4,67.6,,,,,,,,,,162642,,,110,,,0,4
Deaths,10/09/2021,5-11,0.0,,,,,,,,,,210448,,,0,,,5,11
Deaths,04/03/2021,0-4,0.0,,,,,,,,,,162642,,,0,,,0,4
Deaths,04/03/2021,5-11,0.0,,,,,,,,,,210448,,,0,,,5,11
Deaths,04/10/2021,0-4,0.0,,,,,,,,,,162642,,,0,,,0,4
Deaths,04/10/2021,5-11,0.0,,,,,,,,,,210448,,,0,,,5,11
Deaths,04/17/2021,0-4,0.0,,,,,,,,,,162642,,,0,,,0,4
Deaths,04/17/2021,5-11,0.0,,,,,,,,,,210448,,,0,,,5,11
Deaths,04/24/2021,0-4,0.0,,,,,,,,,,162642,,,0,,,0,4
Deaths,04/24/2021,5-11,0.0,,,,,,,,,,210448,,,0,,,5,11
Deaths,05/01/2021,0-4,0.0,,,,,,,,,,162642,,,0,,,0,4
Deaths,05/01/2021,5-11,0.0,,,,,,,,,,210448,,,0,,,5,11
Deaths,05/08/2021,0-4,0.0,,,,,,,,,,162642,,,0,,,0,4
Deaths,05/08/2021,5-11,0.0,,,,,,,,,,210448,,,0,,,5,11
Deaths,05/15/2021,0-4,0.0,,,,,,,,,,162642,,,0,,,0,4
Deaths,05/15/2021,5-11,0.0,,,,,,,,,,210448,,,0,,,5,11
Deaths,05/22/2021,0-4,0.0,,,,,,,,,,162642,,,0,,,0,4
Deaths,05/22/2021,5-11,0.0,,,,,,,,,,210448,,,0,,,5,11
Deaths,05/29/2021,0-4,0.0,,,,,,,,,,162642,,,0,,,0,4
Deaths,05/29/2021,5-11,0.0,,,,,,,,,,210448,,,0,,,5,11
Deaths,06/05/2021,0-4,0.0,,,,,,,,,,162642,,,0,,,0,4
Deaths,06/05/2021,5-11,0.0,,,,,,,,,,210448,,,0,,,5,11
Deaths,06/12/2021,0-4,0.0,,,,,,,,,,162642,,,0,,,0,4
Deaths,06/12/2021,5-11,0.0,,,,,,,,,,210448,,,0,,,5,11
Deaths,06/19/2021,0-4,0.0,,,,,,,,,,162642,,,0,,,0,4
Deaths,06/19/2021,5-11,0.0,,,,,,,,,,210448,,,0,,,5,11
Deaths,06/26/2021,0-4,0.0,,,,,,,,,,162642,,,0,,,0,4
Deaths,06/26/2021,5-11,0.0,,,,,,,,,,210448,,,0,,,5,11
Deaths,07/03/2021,0-4,0.0,,,,,,,,,,162642,,,0,,,0,4
Deaths,07/03/2021,5-11,0.0,,,,,,,,,,210448,,,0,,,5,11
Deaths,07/10/2021,0-4,0.0,,,,,,,,,,162642,,,0,,,0,4
Deaths,07/10/2021,5-11,0.0,,,,,,,,,,210448,,,0,,,5,11
Deaths,07/17/2021,0-4,0.0,,,,,,,,,,162642,,,0,,,0,4
Deaths,07/17/2021,5-11,0.0,,,,,,,,,,210448,,,0,,,5,11
Deaths,07/24/2021,0-4,0.0,,,,,,,,,,162642,,,0,,,0,4
Deaths,07/24/2021,5-11,0.0,,,,,,,,,,210448,,,0,,,5,11
Deaths,07/31/2021,0-4,0.0,,,,,,,,,,162642,,,0,,,0,4
Deaths,07/31/2021,5-11,0.0,,,,,,,,,,210448,,,0,,,5,11
Deaths,08/07/2021,0-4,0.0,,,,,,,,,,162642,,,0,,,0,4
Deaths,08/07/2021,5-11,0.5,,,,,,,,,,210448,,,1,,,5,11
Deaths,08/14/2021,0-4,0.0,,,,,,,,,,162642,,,0,,,0,4
Deaths,08/14/2021,5-11,0.0,,,,,,,,,,210448,,,0,,,5,11
Deaths,08/21/2021,0-4,0.0,,,,,,,,,,162642,,,0,,,0,4
Deaths,08/21/2021,5-11,0.0,,,,,,,,,,210448,,,0,,,5,11
Deaths,08/28/2021,0-4,0.0,,,,,,,,,,162642,,,0,,,0,4
Deaths,08/28/2021,5-11,0.0,,,,,,,,,,210448,,,0,,,5,11
Deaths,09/04/2021,0-4,0.0,,,,,,,,,,162642,,,0,,,0,4
Deaths,09/04/2021,5-11,0.0,,,,,,,,,,210448,,,0,,,5,11
Deaths,09/11/2021,0-4,0.0,,,,,,,,,,162642,,,0,,,0,4
Deaths,09/11/2021,5-11,0.0,,,,,,,,,,210448,,,0,,,5,11
Deaths,09/18/2021,0-4,0.0,,,,,,,,,,162642,,,0,,,0,4
Deaths,09/18/2021,5-11,0.0,,,,,,,,,,210448,,,0,,,5,11
Deaths,09/25/2021,0-4,0.0,,,,,,,,,,162642,,,0,,,0,4
Deaths,09/25/2021,5-11,0.0,,,,,,,,,,210448,,,0,,,5,11
Deaths,10/02/2021,0-4,0.0,,,,,,,,,,162642,,,0,,,0,4
Deaths,10/02/2021,5-11,0.0,,,,,,,,,,210448,,,0,,,5,11
Deaths,10/09/2021,0-4,0.0,,,,,,,,,,162642,,,0,,,0,4
Deaths,10/16/2021,0-4,0.0,,,,,,,,,,162642,,,0,,,0,4
Deaths,10/16/2021,5-11,0.0,,,,,,,,,,210448,,,0,,,5,11
Deaths,10/23/2021,0-4,0.0,,,,,,,,,,162642,,,0,,,0,4
Deaths,10/23/2021,5-11,0.0,,,,,,,,,,210448,,,0,,,5,11
Deaths,10/30/2021,0-4,0.0,,,,,,,,,,162642,,,0,,,0,4
Deaths,10/30/2021,5-11,0.0,,,,,,,,,,210448,,,0,,,5,11
Deaths,11/06/2021,0-4,0.0,,,,,,,,,,162642,,,0,,,0,4
Deaths,11/13/2021,0-4,0.0,,,,,,,,,,162642,,,0,,,0,4
Deaths,11/20/2021,0-4,0.0,,,,,,,,,,162642,,,0,,,0,4
Deaths,11/27/2021,0-4,0.0,,,,,,,,,,162642,,,0,,,0,4
Deaths,12/04/2021,0-4,0.0,,,,,,,,,,162642,,,0,,,0,4
Deaths,12/11/2021,0-4,0.0,,,,,,,,,,162642,,,0,,,0,4
Deaths,12/18/2021,0-4,0.0,,,,,,,,,,162642,,,0,,,0,4
Deaths,12/25/2021,0-4,0.0,,,,,,,,,,162642,,,0,,,0,4
Deaths,01/01/2022,0-4,0.0,,,,,,,,,,162642,,,0,,,0,4
Deaths,01/08/2022,0-4,0.0,,,,,,,,,,162642,,,0,,,0,4
Deaths,01/15/2022,0-4,0.0,,,,,,,,,,162642,,,0,,,0,4
Deaths,01/22/2022,0-4,0.0,,,,,,,,,,162642,,,0,,,0,4
Deaths,01/29/2022,0-4,0.0,,,,,,,,,,162642,,,0,,,0,4
Deaths,02/05/2022,0-4,0.0,,,,,,,,,,162642,,,0,,,0,4
Deaths,02/12/2022,0-4,0.0,,,,,,,,,,162642,,,0,,,0,4
Deaths,02/19/2022,0-4,0.0,,,,,,,,,,162642,,,0,,,0,4
Deaths,02/26/2022,0-4,0.0,,,,,,,,,,162642,,,0,,,0,4
Deaths,03/05/2022,0-4,0.0,,,,,,,,,,162642,,,0,,,0,4
Deaths,03/12/2022,0-4,0.0,,,,,,,,,,162642,,,0,,,0,4
Deaths,03/19/2022,0-4,0.0,,,,,,,,,,162642,,,0,,,0,4
Deaths,03/26/2022,0-4,0.0,,,,,,,,,,162642,,,0,,,0,4
Deaths,04/02/2022,0-4,0.0,,,,,,,,,,162642,,,0,,,0,4
Deaths,04/09/2022,0-4,0.0,,,,,,,,,,162642,,,0,,,0,4
Deaths,04/16/2022,0-4,0.0,,,,,,,,,,162642,,,0,,,0,4
Deaths,04/23/2022,0-4,0.0,,,,,,,,,,162642,,,0,,,0,4
Deaths,04/30/2022,0-4,0.0,,,,,,,,,,162642,,,0,,,0,4
Deaths,05/07/2022,0-4,0.0,,,,,,,,,,162642,,,0,,,0,4
Deaths,05/14/2022,0-4,0.0,,,,,,,,,,162642,,,0,,,0,4
Deaths,05/21/2022,0-4,0.0,,,,,,,,,,162642,,,0,,,0,4
Deaths,05/28/2022,0-4,0.0,,,,,,,,,,162642,,,0,,,0,4
Deaths,06/04/2022,0-4,0.0,,,,,,,,,,162642,,,0,,,0,4
Hospitalizations,09/25/2021,0-4,1.8,,,,,,,,,,162642,,,3,,,0,4
Deaths,06/11/2022,0-4,0.0,,,,,,,,,,162642,,,0,,,0,4
Deaths,06/18/2022,0-4,0.0,,,,,,,,,,162642,,,0,,,0,4
Deaths,06/25/2022,0-4,0.0,,,,,,,,,,162642,,,0,,,0,4
Hospitalizations,04/03/2021,0-4,1.8,,,,,,,,,,162642,,,3,,,0,4
Hospitalizations,04/03/2021,5-11,0.5,,,,,,,,,,210448,,,1,,,5,11
Hospitalizations,04/10/2021,0-4,1.8,,,,,,,,,,162642,,,3,,,0,4
Hospitalizations,04/10/2021,5-11,1.4,,,,,,,,,,210448,,,3,,,5,11
Hospitalizations,04/17/2021,0-4,1.2,,,,,,,,,,162642,,,2,,,0,4
Hospitalizations,04/17/2021,5-11,1.0,,,,,,,,,,210448,,,2,,,5,11
Hospitalizations,04/24/2021,0-4,2.5,,,,,,,,,,162642,,,4,,,0,4
Hospitalizations,04/24/2021,5-11,1.4,,,,,,,,,,210448,,,3,,,5,11
Hospitalizations,05/01/2021,0-4,3.1,,,,,,,,,,162642,,,5,,,0,4
Hospitalizations,05/01/2021,5-11,1.0,,,,,,,,,,210448,,,2,,,5,11
Hospitalizations,05/08/2021,0-4,3.1,,,,,,,,,,162642,,,5,,,0,4
Hospitalizations,05/08/2021,5-11,0.5,,,,,,,,,,210448,,,1,,,5,11
Hospitalizations,05/15/2021,0-4,0.0,,,,,,,,,,162642,,,0,,,0,4
Hospitalizations,05/15/2021,5-11,1.4,,,,,,,,,,210448,,,3,,,5,11
Hospitalizations,05/22/2021,0-4,1.2,,,,,,,,,,162642,,,2,,,0,4
Hospitalizations,05/22/2021,5-11,1.9,,,,,,,,,,210448,,,4,,,5,11
Hospitalizations,05/29/2021,0-4,0.6,,,,,,,,,,162642,,,1,,,0,4
Hospitalizations,05/29/2021,5-11,0.0,,,,,,,,,,210448,,,0,,,5,11
Hospitalizations,06/05/2021,0-4,2.5,,,,,,,,,,162642,,,4,,,0,4
Hospitalizations,06/05/2021,5-11,1.9,,,,,,,,,,210448,,,4,,,5,11
Hospitalizations,06/12/2021,0-4,1.2,,,,,,,,,,162642,,,2,,,0,4
Hospitalizations,06/12/2021,5-11,0.0,,,,,,,,,,210448,,,0,,,5,11
Hospitalizations,06/19/2021,0-4,0.6,,,,,,,,,,162642,,,1,,,0,4
Hospitalizations,06/19/2021,5-11,0.0,,,,,,,,,,210448,,,0,,,5,11
Hospitalizations,06/26/2021,0-4,0.6,,,,,,,,,,162642,,,1,,,0,4
Hospitalizations,06/26/2021,5-11,0.5,,,,,,,,,,210448,,,1,,,5,11
Hospitalizations,07/03/2021,0-4,0.0,,,,,,,,,,162642,,,0,,,0,4
Hospitalizations,07/03/2021,5-11,0.5,,,,,,,,,,210448,,,1,,,5,11
Hospitalizations,07/10/2021,0-4,2.5,,,,,,,,,,162642,,,4,,,0,4
Hospitalizations,07/10/2021,5-11,0.0,,,,,,,,,,210448,,,0,,,5,11
Hospitalizations,07/17/2021,0-4,1.2,,,,,,,,,,162642,,,2,,,0,4
Hospitalizations,07/17/2021,5-11,0.0,,,,,,,,,,210448,,,0,,,5,11
Hospitalizations,07/24/2021,0-4,0.0,,,,,,,,,,162642,,,0,,,0,4
Hospitalizations,07/24/2021,5-11,0.5,,,,,,,,,,210448,,,1,,,5,11
Hospitalizations,07/31/2021,0-4,1.2,,,,,,,,,,162642,,,2,,,0,4
Hospitalizations,07/31/2021,5-11,0.0,,,,,,,,,,210448,,,0,,,5,11
Hospitalizations,08/07/2021,0-4,1.8,,,,,,,,,,162642,,,3,,,0,4
Hospitalizations,08/07/2021,5-11,0.5,,,,,,,,,,210448,,,1,,,5,11
Hospitalizations,08/14/2021,0-4,1.2,,,,,,,,,,162642,,,2,,,0,4
Hospitalizations,08/14/2021,5-11,0.5,,,,,,,,,,210448,,,1,,,5,11
Hospitalizations,08/21/2021,0-4,0.6,,,,,,,,,,162642,,,1,,,0,4
Hospitalizations,08/21/2021,5-11,0.5,,,,,,,,,,210448,,,1,,,5,11
Hospitalizations,08/28/2021,0-4,1.2,,,,,,,,,,162642,,,2,,,0,4
Hospitalizations,08/28/2021,5-11,1.0,,,,,,,,,,210448,,,2,,,5,11
Hospitalizations,09/04/2021,0-4,4.3,,,,,,,,,,162642,,,7,,,0,4
Hospitalizations,09/04/2021,5-11,0.5,,,,,,,,,,210448,,,1,,,5,11
Hospitalizations,09/11/2021,0-4,1.8,,,,,,,,,,162642,,,3,,,0,4
Hospitalizations,09/11/2021,5-11,0.0,,,,,,,,,,210448,,,0,,,5,11
Hospitalizations,09/18/2021,0-4,1.2,,,,,,,,,,162642,,,2,,,0,4
Hospitalizations,09/18/2021,5-11,1.4,,,,,,,,,,210448,,,3,,,5,11
Hospitalizations,09/25/2021,5-11,0.5,,,,,,,,,,210448,,,1,,,5,11
Hospitalizations,10/02/2021,0-4,0.6,,,,,,,,,,162642,,,1,,,0,4
Hospitalizations,10/02/2021,5-11,0.0,,,,,,,,,,210448,,,0,,,5,11
Hospitalizations,10/09/2021,0-4,2.5,,,,,,,,,,162642,,,4,,,0,4
Hospitalizations,10/09/2021,5-11,0.5,,,,,,,,,,210448,,,1,,,5,11
Hospitalizations,10/16/2021,0-4,0.0,,,,,,,,,,162642,,,0,,,0,4
Hospitalizations,10/16/2021,5-11,0.0,,,,,,,,,,210448,,,0,,,5,11
Hospitalizations,10/23/2021,0-4,0.0,,,,,,,,,,162642,,,0,,,0,4
Hospitalizations,10/23/2021,5-11,0.0,,,,,,,,,,210448,,,0,,,5,11
Hospitalizations,10/30/2021,0-4,0.0,,,,,,,,,,162642,,,0,,,0,4
Hospitalizations,10/30/2021,5-11,0.5,,,,,,,,,,210448,,,1,,,5,11
Hospitalizations,11/06/2021,0-4,0.0,,,,,,,,,,162642,,,0,,,0,4
Hospitalizations,11/13/2021,0-4,1.2,,,,,,,,,,162642,,,2,,,0,4
Hospitalizations,11/20/2021,0-4,0.6,,,,,,,,,,162642,,,1,,,0,4
Hospitalizations,11/27/2021,0-4,0.6,,,,,,,,,,162642,,,1,,,0,4
Hospitalizations,12/04/2021,0-4,2.5,,,,,,,,,,162642,,,4,,,0,4
Hospitalizations,12/18/2021,0-4,12.3,,,,,,,,,,162642,,,20,,,0,4
Hospitalizations,12/25/2021,0-4,17.2,,,,,,,,,,162642,,,28,,,0,4
Hospitalizations,01/01/2022,0-4,35.7,,,,,,,,,,162642,,,58,,,0,4
Hospitalizations,01/08/2022,0-4,22.1,,,,,,,,,,162642,,,36,,,0,4
Hospitalizations,01/15/2022,0-4,20.9,,,,,,,,,,162642,,,34,,,0,4
Hospitalizations,01/22/2022,0-4,13.5,,,,,,,,,,162642,,,22,,,0,4
Hospitalizations,01/29/2022,0-4,6.8,,,,,,,,,,162642,,,11,,,0,4
Hospitalizations,02/05/2022,0-4,4.3,,,,,,,,,,162642,,,7,,,0,4
Hospitalizations,02/12/2022,0-4,3.7,,,,,,,,,,162642,,,6,,,0,4
Hospitalizations,02/19/2022,0-4,1.8,,,,,,,,,,162642,,,3,,,0,4
Hospitalizations,02/26/2022,0-4,1.8,,,,,,,,,,162642,,,3,,,0,4
Hospitalizations,03/05/2022,0-4,1.8,,,,,,,,,,162642,,,3,,,0,4
Hospitalizations,03/12/2022,0-4,1.8,,,,,,,,,,162642,,,3,,,0,4
Hospitalizations,03/19/2022,0-4,1.2,,,,,,,,,,162642,,,2,,,0,4
Hospitalizations,03/26/2022,0-4,2.5,,,,,,,,,,162642,,,4,,,0,4
Hospitalizations,04/02/2022,0-4,1.8,,,,,,,,,,162642,,,3,,,0,4
Hospitalizations,04/09/2022,0-4,1.2,,,,,,,,,,162642,,,2,,,0,4
